交易时间,交易分类,交易对方,商品说明,收/支,金额,收/付款方式,交易状态,来源,是否退款
2024-12-31 21:51:01,收入,银行利息,银行利息-奖金,收入,773.68,余额宝,支付成功,支付宝,False
2024-12-31 20:40:43,交通出行,哈啰单车,哈啰单车-打车上班,支出,32.81,余额宝,支付成功,支付宝,False
2024-12-31 12:51:48,转账,借款人,借款人-转账,支出,739.28,零钱,支付成功,微信,False
2024-12-31 09:49:14,商户消费,水果摊,水果摊-买早餐,支出,28.62,零钱,支付成功,微信,False
2024-12-30 20:12:12,餐饮美食,海底捞,海底捞-外卖订单,支出,42.44,余额宝,支付成功,支付宝,False
2024-12-30 19:37:42,扫二维码付款,路边摊,路边摊-付款,支出,4.35,零钱,支付成功,微信,False
2024-12-30 17:05:49,其他,水果摊,水果摊-买水果,支出,106.47,余额宝,支付成功,支付宝,False
2024-12-30 11:35:24,转账,朋友,朋友-房租,收入,948.96,零钱,支付成功,微信,False
2024-12-30 11:27:12,住房物业,万科物业,万科物业-宽带费,支出,182.98,余额宝,支付成功,支付宝,False
2024-12-29 16:07:27,餐饮美食,沙县小吃,沙县小吃-下午茶,支出,103.3,余额宝,支付成功,支付宝,False
2024-12-29 13:31:15,群收款,聚餐群,聚餐群-AA分摊,支出,61.21,零钱,支付成功,微信,False
2024-12-29 09:54:33,服饰装扮,H&M,H&M-运动装备,支出,1681.32,余额宝,支付成功,支付宝,False
2024-12-29 09:16:00,餐饮美食,喜茶,喜茶-夜宵,支出,32.4,余额宝,支付成功,支付宝,False
2024-12-28 18:04:58,扫二维码付款,出租车,出租车-付款,支出,10.34,零钱,支付成功,微信,False
2024-12-28 14:35:31,微信红包,微信好友,微信好友-大吉大利,收入,3.55,零钱,支付成功,微信,False
2024-12-28 13:26:52,餐饮美食,麦当劳,麦当劳-工作餐,支出,44.77,余额宝,支付成功,支付宝,False
2024-12-28 11:33:59,扫二维码付款,路边摊,路边摊-付款,支出,28.79,零钱,支付成功,微信,False
2024-12-28 11:28:54,亲子,家乐福,家乐福-零食饮料,支出,69.33,余额宝,支付成功,支付宝,False
2024-12-28 11:12:16,交通出行,中国石油,中国石油-停车费,支出,19.57,余额宝,支付成功,支付宝,False
2024-12-27 20:02:16,商户消费,便利店,便利店-买水果,支出,149.58,零钱,支付成功,微信,False
2024-12-27 16:44:31,数码电器,小米之家,小米之家-耳机,支出,895.75,余额宝,支付成功,支付宝,False
2024-12-27 14:35:54,群收款,聚餐群,聚餐群-AA分摊,支出,167.57,零钱,支付成功,微信,False
2024-12-26 14:37:49,餐饮美食,兰州拉面,兰州拉面-夜宵,支出,29.99,余额宝,支付成功,支付宝,False
2024-12-26 12:45:47,充值缴费,中国电信,中国电信-会员订阅,支出,59.23,余额宝,支付成功,支付宝,False
2024-12-26 11:41:35,转账,房东,房东-房租,支出,157.38,零钱,支付成功,微信,False
2024-12-26 11:38:21,文化休闲,猫眼电影,猫眼电影-看电影,支出,905.42,余额宝,支付成功,支付宝,False
2024-12-25 20:45:05,交通出行,中国石油,中国石油-打车上班,支出,368.66,余额宝,支付成功,支付宝,False
2024-12-25 20:11:34,转账,房东,房东-还款,收入,55.11,零钱,支付成功,微信,False
2024-12-25 19:42:38,扫二维码付款,小吃店,小吃店-扫码支付,支出,12.05,零钱,支付成功,微信,False
2024-12-25 14:23:14,日用百货,京东超市,京东超市-纸巾湿巾,支出,71.4,余额宝,支付成功,支付宝,False
2024-12-25 12:53:31,日用百货,7-11便利店,7-11便利店-超市购物,支出,151.43,余额宝,支付成功,支付宝,False
2024-12-25 11:00:47,日用百货,家乐福,家乐福-洗漱用品,支出,41.92,余额宝,支付成功,支付宝,False
2024-12-24 20:35:22,餐饮美食,兰州拉面,兰州拉面-早餐,支出,15.98,余额宝,支付成功,支付宝,False
2024-12-24 17:02:28,转账,朋友,朋友-转账,支出,146.68,零钱,支付成功,微信,False
2024-12-24 10:12:52,住房物业,万科物业,万科物业-物业费,支出,23.63,余额宝,支付成功,支付宝,False
2024-12-23 21:08:13,转账,借款人,借款人-还款,收入,198.08,零钱,支付成功,微信,False
2024-12-23 20:38:04,转账红包,李四,李四-借款还款,收入,17.06,余额宝,支付成功,支付宝,False
2024-12-23 19:29:28,商户消费,菜市场,菜市场-零钱支付,支出,2.93,零钱,支付成功,微信,False
2024-12-23 05:54:55,充值缴费,腾讯视频,腾讯视频-流量包,支出,103.65,余额宝,支付成功,支付宝,False
2024-12-22 21:43:42,交通出行,滴滴出行,滴滴出行-回家车票,支出,3.22,余额宝,支付成功,支付宝,False
